City,Type,Area,Price,Purpose,Location,Built in year,Electricity Backup,Floors,Bedrooms,Bathrooms,Servant Quarters,Kitchens,Lawn or Garden,Luxury_Score
Karachi,House,"1,000 Sq. Yd.","PKR
39.4 Crore",For Sale,"DHA Defence, Karachi, Sindh",,0.0,,6,6,,,,0
Karachi,Flat,111 Sq. Yd.,"PKR
1.75 Crore",For Sale,"DHA Defence, Karachi, Sindh",,0.0,,3,3,,,,0
Karachi,House,120 Sq. Yd.,"PKR
4.5 Crore",For Sale,"DHA Defence, Karachi, Sindh",2014.0,0.0,2.0,4,5,1.0,1.0,,0
Karachi,Flat,200 Sq. Yd.,"PKR
3.4 Crore",For Sale,"Rashid Minhas Road, Karachi, Sindh",2023.0,0.0,,3,4,,1.0,,0
Karachi,Flat,300 Sq. Yd.,"PKR
3 Crore",For Sale,"Gulistan-e-Jauhar, Karachi, Sindh",2011.0,0.0,,4,5,1.0,1.0,,0
Karachi,House,500 Sq. Yd.,"PKR
23 Crore",For Sale,"DHA Defence, Karachi, Sindh",,0.0,,5,6,1.0,1.0,,0
Karachi,House,"1,000 Sq. Yd.","PKR
17.5 Crore",For Sale,"DHA Defence, Karachi, Sindh",2011.0,0.0,,5,6,2.0,2.0,,0
Karachi,House,"1,000 Sq. Yd.","PKR
26 Crore",For Sale,"DHA Defence, Karachi, Sindh",2020.0,0.0,3.0,6,6,2.0,2.0,,0
Karachi,House,600 Sq. Yd.,"PKR
19 Crore",For Sale,"DHA Defence, Karachi, Sindh",2024.0,0.0,3.0,6,6,1.0,2.0,,0
Karachi,House,120 Sq. Yd.,"PKR
2.99 Crore",For Sale,"Scheme 33, Karachi, Sindh",2024.0,0.0,,6,6,2.0,3.0,,0
Karachi,Flat,72 Sq. Yd.,"PKR
60 Lakh",For Sale,"Scheme 33, Karachi, Sindh",2016.0,0.0,,2,2,,2.0,,0
Karachi,House,125 Sq. Yd.,"PKR
1.08 Crore",For Sale,"Bahria Town Karachi, Karachi, Sindh",,0.0,,3,3,1.0,1.0,,0
Karachi,House,272 Sq. Yd.,"PKR
3 Crore",For Sale,"Bahria Town Karachi, Karachi, Sindh",2025.0,0.0,2.0,5,6,1.0,2.0,,0
Karachi,Flat,233 Sq. Yd.,"PKR
5.65 Crore",For Sale,"Bath Island, Karachi, Sindh",2028.0,0.0,,3,3,1.0,1.0,,0
Karachi,House,375 Sq. Yd.,"PKR
8.2 Crore",For Sale,"Malir, Karachi, Sindh",2015.0,0.0,1.0,4,5,,2.0,,0
Karachi,House,350 Sq. Yd.,"PKR
7.6 Crore",For Sale,"Malir, Karachi, Sindh",2005.0,0.0,,4,4,,1.0,,0
Karachi,Flat,206 Sq. Yd.,"PKR
3 Crore",For Sale,"Jinnah Avenue, Karachi, Sindh",2024.0,0.0,,3,4,1.0,1.0,,0
Karachi,House,500 Sq. Yd.,"PKR
9.5 Crore",For Sale,"DHA Defence, Karachi, Sindh",2010.0,0.0,2.0,5,6,1.0,2.0,,0
Karachi,House,250 Sq. Yd.,"PKR
14 Crore",For Sale,"Jamshed Town, Karachi, Sindh",,0.0,,5,6,1.0,1.0,,0
Karachi,House,150 Sq. Yd.,"PKR
6.25 Crore",For Sale,"DHA Defence, Karachi, Sindh",,0.0,,4,5,,,,0
Karachi,House,120 Sq. Yd.,"PKR
1.85 Crore",For Sale,"Scheme 33, Karachi, Sindh",,0.0,,4,5,,2.0,,0
Karachi,Flat,131 Sq. Yd.,"PKR
4.7 Crore",For Sale,"DHA Defence, Karachi, Sindh",2024.0,0.0,,2,2,1.0,1.0,,0
Karachi,House,306 Sq. Yd.,"PKR
14.5 Crore",For Sale,"DHA Defence, Karachi, Sindh",2022.0,0.0,2.0,4,6,1.0,1.0,,0
Karachi,House,240 Sq. Yd.,"PKR
5.75 Crore",For Sale,"Gulistan-e-Jauhar, Karachi, Sindh",0.0,0.0,2.0,6,6,1.0,2.0,,0
Karachi,Upper Portion,200 Sq. Yd.,"PKR
2 Crore",For Sale,"Gulistan-e-Jauhar, Karachi, Sindh",2023.0,0.0,,3,3,1.0,1.0,,0
Karachi,House,600 Sq. Yd.,"PKR
12 Crore",For Sale,"Gulshan-e-Iqbal Town, Karachi, Sindh",1994.0,0.0,2.0,5,5,1.0,1.0,,0
Karachi,Flat,72 Sq. Yd.,"PKR
70 Lakh",For Sale,"Scheme 33, Karachi, Sindh",2012.0,0.0,,2,2,,1.0,,0
Karachi,House,120 Sq. Yd.,"PKR
2.5 Crore",For Sale,"Scheme 33, Karachi, Sindh",,0.0,,4,5,,2.0,,0
Karachi,Flat,72 Sq. Yd.,"PKR
58 Lakh",For Sale,"Gulshan-e-Iqbal Town, Karachi, Sindh",2000.0,0.0,,2,2,,,,0
Karachi,Flat,106 Sq. Yd.,"PKR
3.17 Crore",For Sale,"Gulshan-e-Iqbal Town, Karachi, Sindh",2015.0,0.0,,2,2,,1.0,,0
Karachi,House,160 Sq. Yd.,"PKR
1.31 Crore",For Sale,"Karachi Motorway, Karachi, Sindh",2018.0,0.0,2.0,3,3,1.0,1.0,,0
Karachi,Flat,111 Sq. Yd.,"PKR
93 Lakh",For Sale,"Scheme 33, Karachi, Sindh",2018.0,0.0,,2,3,1.0,1.0,,0
Karachi,House,240 Sq. Yd.,"PKR
2.2 Crore",For Sale,"Karachi Motorway, Karachi, Sindh",25.0,0.0,,4,4,,1.0,,0
Karachi,Flat,72 Sq. Yd.,"PKR
68 Lakh",For Sale,"Scheme 33, Karachi, Sindh",,0.0,,2,2,1.0,1.0,,0
Karachi,Flat,267 Sq. Yd.,"PKR
5 Crore",For Sale,"Clifton, Karachi, Sindh",2022.0,0.0,,3,4,1.0,1.0,,0
Karachi,House,152 Sq. Yd.,"PKR
2.22 Crore",For Sale,"Bahria Town Karachi, Karachi, Sindh",2020.0,0.0,,3,3,1.0,2.0,,0
Karachi,House,"1,000 Sq. Yd.","PKR
35 Crore",For Sale,"DHA Defence, Karachi, Sindh",,0.0,2.0,6,7,2.0,2.0,,0
Karachi,House,500 Sq. Yd.,"PKR
4.9 Crore",For Sale,"Bahria Town Karachi, Karachi, Sindh",,0.0,2.0,5,5,1.0,2.0,,0
Karachi,House,500 Sq. Yd.,"PKR
20 Crore",For Sale,"DHA Defence, Karachi, Sindh",2019.0,0.0,3.0,4,6,1.0,1.0,,0
Karachi,House,500 Sq. Yd.,"PKR
14 Crore",For Sale,"DHA Defence, Karachi, Sindh",2017.0,0.0,2.0,6,6,2.0,1.0,,0
Karachi,House,550 Sq. Yd.,"PKR
25 Crore",For Sale,"DHA Defence, Karachi, Sindh",2025.0,0.0,2.0,6,6,,3.0,,0
Karachi,Flat,167 Sq. Yd.,"PKR
4 Crore",For Sale,"Jamshed Town, Karachi, Sindh",,0.0,,3,3,,,,0
Karachi,Flat,111 Sq. Yd.,"PKR
2.75 Crore",For Sale,"Jamshed Town, Karachi, Sindh",,0.0,,2,2,,,,0
Karachi,House,"1,008 Sq. Yd.","PKR
14.5 Crore",For Sale,"Zamzama, Karachi, Sindh",1995.0,0.0,2.0,-,-,2.0,2.0,,0
Karachi,House,120 Sq. Yd.,"PKR
1.9 Crore",For Sale,"Gulistan-e-Jauhar, Karachi, Sindh",,0.0,,5,5,,,,0
Karachi,House,160 Sq. Yd.,"PKR
3.7 Crore",For Sale,"Naya Nazimabad, Karachi, Sindh",,0.0,,3,3,,,,0
Karachi,Flat,111 Sq. Yd.,"PKR
3.1 Crore",For Sale,"DHA Defence, Karachi, Sindh",2019.0,0.0,,1,3,1.0,2.0,,0
Karachi,Flat,131 Sq. Yd.,"PKR
5.2 Crore",For Sale,"DHA Defence, Karachi, Sindh",2023.0,0.0,,2,3,,1.0,,0
Karachi,Flat,83 Sq. Yd.,"PKR
38 Lakh",For Sale,"Gulshan-e-Iqbal Town, Karachi, Sindh",2017.0,0.0,,2,2,,,,0
Karachi,Flat,194 Sq. Yd.,"PKR
5.1 Crore",For Sale,"Gulshan-e-Iqbal Town, Karachi, Sindh",2015.0,0.0,,3,4,1.0,1.0,,0
